1700584666.048,0.0,950
1700584666.248,0.0,950
1700584666.418,-0.5,960
1700584666.588,-0.5,990
1700584666.755,-0.5,1000
1700584666.922,-0.5,1000
1700584667.084,-0.5,1010
1700584667.279,-0.5,1010
1700584667.449,0.0,1010
1700584667.615,0.5,1030
1700584667.795,1.0,1060
1700584667.954,1.5,1080
1700584668.12,1.5,1130
1700584668.308,1.5,1140
1700584668.484,1.0,1170
1700584668.652,1.0,1200
1700584668.821,1.0,1200
1700584668.987,2.5,1200
1700584669.184,6.0,1230
1700584669.355,11.5,1260
1700584669.791,16.0,1270
1700584669.976,17.5,1390
1700584670.172,17.0,1480
1700584670.367,17.0,1480
1700584670.523,17.0,1580
1700584670.688,17.5,1810
1700584670.856,19.0,1810
1700584671.022,20.5,1810
1700584671.215,21.5,1670
1700584671.393,22.0,1450
1700584671.555,21.5,1440
1700584671.72,20.5,1440
1700584671.909,19.0,1510
1700584672.087,15.0,1760
1700584672.254,13.5,1990
1700584672.424,12.5,1990
1700584672.588,12.5,1990
1700584672.78,11.5,1830
1700584672.95,10.0,2060
1700584673.135,7.5,2320
1700584673.32,5.0,2320
1700584673.507,4.0,2320
1700584673.685,3.0,2450
1700584673.853,2.5,2480
1700584674.026,1.0,2480
1700584674.186,-0.5,2480
1700584674.377,-3.0,2380
1700584674.554,-5.5,2490
1700584674.722,-6.5,2490
1700584674.892,-8.0,2490
1700584675.071,-9.0,2310
1700584675.253,-11.0,2310
1700584675.422,-13.0,2260
1700584675.584,-13.5,2240
1700584675.751,-15.0,2240
1700584675.941,-16.0,2000
1700584676.118,-18.5,1970
1700584676.288,-21.0,1840
1700584676.453,-24.0,1830
1700584676.628,-25.5,1750
1700584676.782,-26.0,1680
1700584676.972,-26.0,1570
1700584677.15,-26.0,1570
1700584677.325,-24.0,1570
1700584677.511,-24.0,1570
1700584677.697,-18.5,1480
1700584677.855,-18.0,1470
1700584678.018,-17.0,1240
1700584678.202,-16.5,1220
1700584678.381,-15.5,1150
1700584678.549,-14.5,1130
1700584678.72,-10.5,1070
1700584678.884,-5.5,1040
1700584679.074,-1.5,1070
1700584679.247,1.5,1080
1700584679.417,2.5,1130
1700584679.591,2.5,1130
1700584679.749,2.5,1130
1700584679.929,1.5,1150
1700584680.087,0.5,1200
1700584680.253,0.0,1250
1700584680.421,0.5,1320
1700584680.583,2.0,1430
1700584680.749,4.5,1430
1700584680.94,6.0,1550
1700584681.114,6.5,1580
1700584681.287,6.5,1580
1700584681.45,6.0,1580
1700584681.621,4.5,1540
1700584681.829,0.5,1600
1700584681.983,-6.5,1610
1700584682.151,-11.0,1660
1700584682.32,-13.0,1690
1700584682.507,-14.5,1800
1700584682.682,-15.0,1800
1700584682.853,-15.5,1800
1700584683.017,-15.5,1720
1700584683.197,-15.5,1720
1700584683.379,-14.5,1670
1700584683.546,-13.5,1620
1700584683.717,-9.0,1620
1700584683.882,-5.0,1610
1700584684.081,-3.0,1340
1700584684.245,-1.5,1190
1700584684.415,-1.0,1170
1700584684.581,-0.5,1160
1700584684.747,-1.0,1150
1700584684.915,-1.0,1150
1700584685.112,-2.0,1140
1700584685.28,-2.5,1130
1700584685.449,-3.5,1080
1700584685.615,-4.5,1080
1700584685.786,-4.5,1010
1700584685.981,-4.5,950
1700584686.148,-2.0,850
1700584686.315,-1.0,800
1700584686.478,-1.0,690
1700584686.667,-1.5,630
1700584686.858,-1.5,590
1700584687.021,-1.5,560
1700584687.184,-2.5,540
1700584687.35,-2.5,520
