1700759212.642,1575,38
1700759212.791,1540,37
1700759212.946,1517,37
1700759213.116,1506,34
1700759213.283,1483,25
1700759213.429,1494,2
1700759213.573,1506,-26
1700759213.718,1632,-19
1700759213.883,1861,68
1700759214.027,2218,73
1700759214.173,2413,84
1700759214.328,2423,118
1700759214.475,2458,120
1700759214.625,2377,120
1700759214.769,2228,105
1700759214.922,2435,102
1700759215.067,2457,-124
1700759215.21,2741,-404
1700759215.356,3032,-611
1700759215.503,3107,-885
1700759215.648,3297,-1090
1700759215.796,3537,-1169
1700759215.941,3131,-1078
1700759216.095,3022,-1142
1700759216.264,2816,-1069
1700759216.412,3410,-1221
1700759216.556,3662,-1232
1700759216.703,3839,-1352
1700759216.863,3885,-1360
1700759217.01,4094,-1425
1700759217.156,4106,-1494
1700759217.303,4276,-1497
1700759217.47,4366,-1024
1700759217.615,4568,-780
1700759217.761,4273,-486
1700759217.908,4193,-175
1700759218.074,4335,37
1700759218.22,4312,37
1700759218.371,3858,202
1700759218.518,3775,483
1700759218.688,3793,792
1700759218.851,3756,1084
1700759218.996,3839,1352
1700759219.142,3824,1460
1700759219.319,3822,1498
1700759219.475,3474,1439
1700759219.618,2921,1180
1700759219.763,2878,1163
1700759219.907,2910,1176
1700759220.072,2996,1210
1700759220.236,3019,1213
1700759220.382,3083,1239
1700759220.528,3079,1219
1700759220.7,2966,1062
1700759220.842,2691,611
1700759220.986,2529,346
1700759221.128,2503,131
1700759221.283,2276,7
1700759221.427,2184,-7
1700759221.572,2184,-15
1700759221.718,2196,-15
1700759221.867,2127,-25
1700759222.013,1699,-83
1700759222.155,1562,-65
1700759222.298,1482,-59
1700759222.444,1447,-58
1700759222.586,1494,-36
1700759222.728,1483,-20
1700759222.874,1494,-18
1700759223.037,1460,-15
1700759223.177,1241,-47
1700759223.321,757,-41
1700759223.467,678,-7
1700759223.617,620,-14
1700759223.765,620,-6
